latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.68277,22.68174,341.93,0.39,0.36,2021-02-22,1127,N,VIIRS,n,2,294.37,3.82,D,0
40.91803,23.61567,328.24,0.4,0.37,2021-02-22,1127,N,VIIRS,n,2,291.47,1.76,D,0
40.95525,23.57948,326.18,0.4,0.37,2021-02-22,1127,N,VIIRS,n,2,293.76,1.84,D,0
40.96064,23.13817,329.57,0.39,0.37,2021-02-22,1127,N,VIIRS,n,2,290.24,2.09,D,0
41.11434,23.96702,327.05,0.41,0.37,2021-02-22,1127,N,VIIRS,n,2,291.57,1.96,D,0
38.13124,23.52332,305.03,0.47,0.48,2021-02-22,2346,N,VIIRS,n,2,280.25,1.08,N,2
40.54611,22.39872,331.29,0.46,0.39,2021-02-23,1108,N,VIIRS,n,2,294.41,2.34,D,0
40.62155,22.64258,341.95,0.45,0.39,2021-02-23,1108,N,VIIRS,n,2,295.81,4.21,D,0
40.62301,22.64024,336.65,0.45,0.39,2021-02-23,1108,N,VIIRS,n,2,295.69,3.37,D,0
41.08132,25.03471,345.77,0.39,0.36,2021-02-23,1108,N,VIIRS,n,2,295.36,6.3,D,0
40.87363,22.58721,329.62,0.45,0.39,2021-02-23,1108,N,VIIRS,n,2,299.01,1.79,D,0
40.6157,22.77109,330.81,0.44,0.39,2021-02-23,1108,N,VIIRS,n,2,294.06,3.08,D,0
37.59883,21.79822,326.58,0.54,0.42,2021-02-23,1108,N,VIIRS,n,2,293.37,5.29,D,0
37.59864,21.79632,330.54,0.54,0.42,2021-02-23,1108,N,VIIRS,n,2,293.74,3.48,D,0
37.88056,21.34008,331.1,0.56,0.43,2021-02-23,1108,N,VIIRS,n,2,294.12,4.56,D,0
38.69335,20.62235,339.5,0.39,0.44,2021-02-23,1108,N,VIIRS,n,2,293.03,3.95,D,0
40.42635,22.0499,326.48,0.47,0.4,2021-02-23,1108,N,VIIRS,n,2,291.27,6.92,D,0
